"borough","neighborhood","building.class.category","tax.class.at.present","block","lot","ease.ment","building.class.at.present","address","apartment.number","zip.code","residential.units","commercial.units","total.units","land.square.feet","gross.square.feet","year.built","tax.class.at.time.of.sale","building.class.at.time.of.sale","sale.price","sale.date","sale.price.n","gross.sqft","land.sqft","outliers"
"195",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",5653,113,NA,"A2","2581 HOLLERS AVENUE                      ","            ",10475,1,0,1,5525,1120,1920,1,"A2","$ 350,000","2015-12-28",350000,1120,5525,0
"196",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",5654,365,NA,"A2","3432 MCOWEN AVENUE                       ","            ",10475,1,0,1,5000,2258,1925,1,"A2","$ 490,000","2015-12-29",490000,2258,5000,0
"197",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",5655,23,NA,"A5","3554 MCOWEN AVENUE                       ","            ",10475,1,0,1,2742,1925,1965,1,"A5","$ 265,000","2015-05-27",265000,1925,2742,0
"198",2,"BAYCHESTER               ","01  ONE FAMILY DWELLINGS                    ","1",5655,62,NA,"A2","3503 ROPES AVENUE                        ","            ",10475,1,0,1,5000,1260,1950,1,"A2","$ 330,000","2015-12-18",330000,1260,5000,0
"201",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4711,84,NA,"B1","3587 FISH AVENUE                         ","            ",10469,2,0,2,2144,2304,1920,1,"B1","$ 357,000","2015-10-27",357000,2304,2144,0
"202",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4714,42,NA,"B9","1135 EAST 219 STREET                     ","            ",10469,2,0,2,2501,2125,1950,1,"B9","$ 257,500","2016-02-12",257500,2125,2501,0
"203",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4714,104,NA,"B1","3766 LACONIA AVENUE                      ","            ",10469,2,0,2,1888,2061,1950,1,"B1","$ 325,000","2015-10-22",325000,2061,1888,0
"204",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4714,104,NA,"B1","3766 LACONIA AVENUE                      ","            ",10469,2,0,2,1888,2061,1950,1,"B1","$ 250,000","2015-08-14",250000,2061,1888,0
"206",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4716,21,NA,"B1","1126A EAST 222 STREET                    ","            ",10469,2,0,2,2114,1900,1950,1,"B1","$ 477,000","2016-02-18",477000,1900,2114,0
"207",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4716,22,NA,"B1","1128 EAST 222ND STREET                   ","            ",10469,2,0,2,2176,1900,1950,1,"B1","$ 465,000","2015-09-02",465000,1900,2176,0
"208",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4717,25,NA,"B1","1458 OAKLEY STREET                       ","            ",10469,2,0,2,3515,2750,2014,1,"B1","$ 672,000","2016-02-23",672000,2750,3515,0
"209",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4717,26,NA,"B1","1460 OAKLEY STREET                       ","            ",10469,2,0,2,3610,3792,1930,1,"B1","$ 619,000","2015-06-25",619000,3792,3610,0
"210",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4717,38,NA,"B9","1463 NEEDHAM AVENUE                      ","            ",10469,2,0,2,2850,2110,1950,1,"B9","$ 262,000","2015-08-27",262000,2110,2850,0
"211",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4718,68,NA,"B9","1401 NEEDHAM AVENUE                      ","            ",10469,2,0,2,2102,2187,1945,1,"B9","$ 446,078","2016-01-08",446078,2187,2102,0
"212",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4723,16,NA,"B1","3457 MICKLE AVENUE                       ","            ",10469,2,0,2,1918,1813,1945,1,"B1","$ 145,000","2015-11-24",145000,1813,1918,0
"213",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4723,50,NA,"B9","3458 EASTCHESTER ROAD                    ","            ",10469,2,0,2,2118,2071,1960,1,"B9","$ 370,000","2015-08-28",370000,2071,2118,0
"214",2,"BAYCHESTER               ","02  TWO FAMILY DWELLINGS                    ","1",4728,27,NA,"B9","3521 TIEMANN AVENUE                      ","            ",10469,2,0,2,4200,3300,1970,1,"B9","$ 395,460","2016-03-03",395460,3300,4200,0
